group,experiment,split,metric,value,resolution_or_scope,source,notes
route_or_bridge,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward,,bridge_3.dice,0.892934569262236,varies; see source path,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward,,bridge_4.dice,0.8765423473097349,varies; see source path,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward,,bridge_5.dice,0.8841211915289707,varies; see source path,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward,,bridge_6.dice,0.8683697155874169,varies; see source path,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward,,direct.dice,0.8205115094459068,varies; see source path,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward_validation,,bridge_1.dice,0.8404015944090775,varies; see source path,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward_validation/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward_validation,,bridge_2.dice,0.8372756815400371,varies; see source path,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward_validation/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward_validation,,bridge_3.dice,0.8655835543364225,varies; see source path,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward_validation/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward_validation,,bridge_4.dice,0.8708087079514147,varies; see source path,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward_validation/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward_validation,,bridge_5.dice,0.8671511220304277,varies; see source path,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward_validation/route_family_summary.json,
