setting,target_id,b0,best_b1_b6,best_bridge,delta_best_vs_b0,b6,delta_b6_vs_b0,b1,b2,b3,b4,b5
base,ISIC_0007322,0.8285988747083848,0.8482805124747134,6,0.019681637766328586,0.8482805124747134,0.019681637766328586,0.8321247776713641,0.8382532988709019,0.837012810029981,0.8352668213457076,0.844227906347273
base,ISIC_0008256,0.8887162555836084,0.9115465094160168,6,0.02283025383240833,0.9115465094160168,0.02283025383240833,0.8987682832948422,0.893230174081238,0.908640091550639,0.8985563041385948,0.9082236214462889
base,ISIC_0008600,0.9139734582357533,0.9510278764395652,2,0.037054418203811945,0.935141696131722,0.021168237895968778,0.9245074862096139,0.9510278764395652,0.9438574020706586,0.9417522208628119,0.9462504023173479
base,ISIC_0008879,0.8462819089900111,0.8576923076923076,4,0.011410398702296543,0.8567500687379709,0.010468159747959782,0.8551762114537445,0.8573784006595219,0.8558062740781508,0.8576923076923076,0.8567500687379709
base,ISIC_0009860,0.917182199161844,0.922129519268971,1,0.004947320107127062,0.9109821964392879,-0.006200002722556053,0.922129519268971,0.9130173965206959,0.9121472883730238,0.9181043029942495,0.849478390461997
base,ISIC_0009868,0.8456951357744813,0.8488154919885973,2,0.0031203562141159935,0.8441571259376234,-0.0015380098368579231,0.8435864520588525,0.8488154919885973,0.848079476712733,0.8474559590591477,0.8426722008103568
base,ISIC_0009879,0.9044904544232321,0.9244265638532674,4,0.01993610943003532,0.9212222687316869,0.01673181430845483,0.9074602527517326,0.9212070175438597,0.9223792566214111,0.9244265638532674,0.9232319274579497
base,ISIC_0009880,0.876665357002536,0.8858580133201077,4,0.009192656317571712,0.8799857549857549,0.0033203979832189257,0.877587437544611,0.8837622005323869,0.845108695652174,0.8858580133201077,0.844089973537195
base,ISIC_0009895,0.8778323454699407,0.9365477618995673,6,0.05871541642962663,0.9365477618995673,0.05871541642962663,0.8909445986226745,0.8846833378635499,0.9196667977548175,0.9126643796455117,0.9236828792368288
base,ISIC_0009930,0.8517191977077364,0.9309769923307769,5,0.0792577946230405,0.925963149078727,0.0742439513709906,0.8829268292682927,0.8282163742690059,0.9227150537634409,0.8471772743617404,0.9309769923307769
base,ISIC_0009951,0.8846641318124208,0.8712085370341166,1,-0.013455594778304159,0.8654262910301813,-0.019237840782239446,0.8712085370341166,0.8483824239497827,0.8422330097087378,0.8672524341011636,0.8632933513384701
